구인상태,업체명,직종,채용인원,근무시간,근무지역,급여,성별,연령,지원방법,직무내용,등록일
구인중,아이티지오(주),지하철 택배원,채용인원4명,근무시간내용참조,"서울시내, 경기도","건당 6,000~10,000원",남,65세 이상~,전화 후 방문 010-2579-1905,"1. 주중장례식장 근조기 설치 및 회수(스마트폰으로 설치 사진 전송)2. 주말결혼식장 축하기 설치 후 결혼식 끝나면 회수3. 가방 4.5kg 매고 이동, 버스비 지원*근무형태 : 평일 09:00~19:00 / 14:00~19:00*임       금 : 건당 6,000~10,000원 / 건당 12,000~22,000원*고용형태 : 일용직, 보험 미가입*지원자격 : 남, 65세이상 스마트폰 활용 능력 우수자*근무장소 : 서초동 교대역 인근에서 서울시내, 경기도 배송*지원방법 : 전화 후 방문 010-2579-1905*지원서류 : 이력서",2025-01-20
구인중,(주)사람코퍼레이션,빌딩 경비원,채용인원1명,근무시간격일 7:00~익일07:00 (휴계 13시간),종로구 수송동,월급 177만원,남,~70세 까지,이메일지원 leekalver@naver.com,,2025-01-20
구인중,주식회사유케이개발,아파트 청소원,채용인원1명,근무시간평일 09~16(휴게 1) 격주 토 09~12,강남구 세곡동,월급 166만원,여,무관,전화 후 방문 2010-9466-1323,,2025-01-20
구인중,유한책임회사 굿모닝대양,급식 보조원,채용인원1명,근무시간격일 06:00~19:30,광진구 자양동,월급 220만원,여,~62세까지,문자 지원  010-5449-7610,,2025-01-20
구인중,씽씽준마지하철택배,지하철 택배원,채용인원3명,근무시간주5일,"은평구, 일산 위주",월평균 50만원 이상,남,65세 이상,전화 후 방문 010-9370-8272,,2025-01-17
구인중, 이문삼익아파트 ,아파트 청소원,채용인원1명,근무시간주 5일 09:00~15:00,동대문구 이문동,월급 117만원,여,무관,전화 후 방문 010-4843-7710,,2025-01-17
구인중,파이라이트 빌딩,빌딩 청소원,채용인원1명,근무시간주5일 09:00~17:00,강남구 논현동,월급 210만원,남,무관,이메일지원 bpos214@naver.com,,2025-01-17
구인중,방배 임광1.2차 아파트 ,아파트 청소원,채용인원1명,근무시간주6일,서초구 방배동,월급 143만원,여,무관,전화 후 방문 010-5289-4647,,2025-01-17
구인중,신명스카이뷰 멤버스 오피스텔 ,오피스텔 경비원,채용인원1명,근무시간격일 07:00~익일07:00,서초구 서초2동,194만원,남,무관,전화 후 방문 010-5698-5113,,2025-01-17
구인중,주식회사에프터클린,빌딩 경비원,채용인원1명,"근무시간격일, 07:00~22:00",종로구 신문로2가,월급 220만원,남,무관,팩스지원 0505-304-5404,,2025-01-17
구인중,주식회사 푸른종합주택관리,아파트 경비원,채용인원1명,근무시간격일 06:00~익일060:00,구로구 구로동,월급 229만원,남,무관,팩스지원 02-855-9846,,2025-01-15
구인중,현대빌딩,빌딩 관리원,채용인원1명,"근무시간격일, 07:00~22:30",강남구 청담동,월급 230만원(발렛비 개인 수익),남,무관,전화 후 방문 010-8737-7727,,2025-01-15
구인중,딜리버리 유앤미,지하철 택배원,채용인원5명,근무시간주5일,종로구 와룡동,월 80만원 이상,무관,무관,전화 후 방문 010-5120-0506,,2025-01-15
구인중,"커피빈코리아, 봉은사점",매장보조원,채용인원1명,"근무시간주5일, 내용참조",강남구 삼성동,"시급 10,030원",무관,60세 이상,*상담사 알선 02-6220-8640,,2025-01-14
구인중,파라빌딩,주차관리원,채용인원1명,"근무시간격일, 07:00~익일07:00",강동구 명일동,월급 210만원,남,무관,전화 후 방문 010-5005-9185,,2025-01-13
구인중,카톨릭회관,건물 청소원,채용인원1명,근무시간주5일,중구 저동,"월급 2,322,050원",여,~65세까지,팩스지원 02-772-9852,,2025-01-13
구인중,밤섬예가클래식아파트,아파트 청소원,채용인원1명,근무시간주5일,마포구 현석동,월급 105만원,여,~75세까지,전화 후 방문 010-3483-5253,,2025-01-13
구인중, 주식회사라포르 ,아파트 청소원,채용인원1명,근무시간주6일,성북구 길음동,월급 143만원,남,무관,전화 후 방문 010-4856-3260,,2025-01-13
