구인상태,근무내용,근무시간,근무지역,급여,등록일,성별,업체명,연령,지원방법,지원서류,직종,채용인원
구인상태구인중,"근무내용<아이티지오(주)>- 지하철택배원 4명*직무내용:1. 주중장례식장 근조기 설치 및 회수(스마트폰으로 설치 사진 전송)2. 주말결혼식장 축하기 설치 후 결혼식 끝나면 회수3. 가방 4.5kg 매고 이동, 버스비 지원*근무형태 : 평일 09:00~19:00 / 14:00~19:00*임       금 : 건당 6,000~10,000원 / 건당 12,000~22,000원*고용형태 : 일용직, 보험 미가입*지원자격 : 남, 65세이상 스마트폰 활용 능력 우수자*근무장소 : 서초동 교대역 인근에서 서울시내, 경기도 배송*지원방법 : 전화 후 방문 010-2579-1905*지원서류 : 이력서",근무시간내용참조,"근무지역서울시내, 경기도","급여건당 6,000~10,000원",등록일2025-01-20,성별남,업체명아이티지오(주),연령65세 이상~,지원방법전화 후 방문 010-2579-1905,지원서류,직종지하철 택배원,채용인원4명
구인상태구인중,"근무내용<(주)사람코퍼레이션>- 빌딩 경비원 1명*직무내용 : 빌딩 경비 업무*근무형태 : 격일, 7:00~익일07:00 (휴계 13시간)*임 금 : 월급 177만원*고용형태 : 계약직 12개월*지원자격 : 남, ~70세까지. 일반경비원 신임교육이수증 필수*근무장소 : 종로구 삼봉로 57(수송동) 호수빌딩 / 광화문역 2번출구*지원방법 : 이메일지원 leekalver@naver.com / 팩스지원 02-517-2522*지원서류 : 이력서*정보출처 : 고용24",근무시간격일 7:00~익일07:00 (휴계 13시간),근무지역종로구 수송동,급여월급 177만원,등록일2025-01-20,성별남,업체명(주)사람코퍼레이션,연령~70세 까지,지원방법이메일지원 leekalver@naver.com,지원서류,직종빌딩 경비원,채용인원1명
구인상태구인중,"근무내용<주식회사유케이개발>- 아파트 청소원 1명*직무내용 : 아파트 관내외 공용부분 청소 업무*근무형태 : 평일 09:00~16:00(휴게 1시간), 격주 토 09:00~12:00*임 금 : 월급 166만원*고용형태 : 계약직 7개월*지원자격 : 여*근무장소 : 강남구 자곡로 21 (세곡동) 세곡푸르지오*지원방법 : 전화 후 방문 010-9466-1323*지원서류 : 이력서*정보출처 : 고용24",근무시간평일 09~16(휴게 1) 격주 토 09~12,근무지역강남구 세곡동,급여월급 166만원,등록일2025-01-20,성별여,업체명주식회사유케이개발,연령무관,지원방법전화 후 방문 2010-9466-1323,지원서류,직종아파트 청소원,채용인원1명
구인상태구인중,"근무내용<유한책임회사 굿모닝대양>- 급식 보조원 1명*직무내용 : 의원으로 배달된 음식을 병실로 식판운반차를 이용해서 배식(아침,점심,저녁) 및 설거지*근무형태 : 격일, 06:30~19:30*임       금 : 월급 220만원*고용형태 : 계약직 3개월*지원자격 : 여*근무장소 : 광진구 아차산로 382, 서울점프정형외과의원 (자양동)*지원방법 : 이력서 사진을 찍어서 문자 발송 010-5449-7610*지원서류 : 이력서*정보출처 : 고용24",근무시간격일 06:00~19:30,근무지역광진구 자양동,급여월급 220만원,등록일2025-01-20,성별여,업체명유한책임회사 굿모닝대양,연령~62세까지,지원방법문자 지원  010-5449-7610,지원서류,직종급식 보조원,채용인원1명
구인상태구인중,"근무내용<씽씽준마지하철택배>- 지하철 택배원 3명*직무내용 : 남대문, 동대문 상가의 악세사리 및 가벼운 원단 배송 업무- 하루 4건 정도 (2건씩 묶음배송도 가능), 은평구 일산 위주*근무형태 : 주5일, 08:00~18:00 (근무시간 면접시 조율)*임       금 : 월평균 50만원 이상*고용형태 : 상용직*지원자격 : 남, 65세이상 길 찾기 가능한 자*근무장소 : 종로구 종로 258 (종로6가) c-25호*지원방법 : 전화 후 방문 010-9370-8272*정보출처 : 서울노인복지센터",근무시간주5일,"근무지역은평구, 일산 위주",급여월평균 50만원 이상,등록일2025-01-17,성별남,업체명씽씽준마지하철택배,연령65세 이상,지원방법전화 후 방문 010-9370-8272,지원서류,직종지하철 택배원,채용인원3명
구인상태구인중,근무내용< 이문삼익아파트 >- 아파트 청소원  1명*직무내용 : 아파트 내부 청소*근무형태 : 주 5일 09:00~15:00 (휴게 1.5)*임       금 : 월급 117만원*고용형태 : 계약직 9개월(이후 상용직 검토)*지원자격 : 경력 무관*근무장소 : 동대문구 한천로55길 9 이문동삼익아파트 / 외대앞역 2번출구*지원방법 : 전화 후 방문 010-4843-7710*지원서류 : 이력서*정보출처 : 고용24,근무시간주 5일 09:00~15:00,근무지역동대문구 이문동,급여월급 117만원,등록일2025-01-17,성별여,업체명(주)주원그린,연령무관,지원방법전화 후 방문 010-4843-7710,지원서류,직종아파트 청소원,채용인원1명
구인상태구인중,"근무내용<파이라이트 빌딩>- 빌딩 청소원 1명*직무내용 : 건물 청소 및 관리 업무*근무형태 : 주5일 09:00~17:00 (휴게 1시간)*임       금 : 월급 210만원*고용형태 : 상용직*지원자격 : 남, 경력 2년이상*근무장소 : 강남구 학동로25길 31 파이라이트 빌딩 / 학동역 7번출구*지원방법 : 이메일지원 bpos214@naver.com*지원서류 : 이력서*정보출처 : 고용24",근무시간주5일 09:00~17:00,근무지역강남구 논현동,급여월급 210만원,등록일2025-01-17,성별남,업체명파이라이트 빌딩,연령무관,지원방법이메일지원 bpos214@naver.com,지원서류,직종빌딩 청소원,채용인원1명
구인상태구인중,"근무내용<방배 임광1.2차 아파트 >- 아파트 청소원 1명*직무내용 : 아파트 내부 청소*근무형태 : 주6일, 평일09:00~15:30 / 토요일 09:00~12:00 / 휴게1.5시간*임       금 : 월급 143만원*고용형태 : 계약직 3개월*지원자격 : 여, 복지카드우대*근무장소 : 서초구 방배로 14 임광 아파트 / 방배역 1번출구*지원방법 : 전화 후 방문 010-5289-4647*지원서류 : 이력서*정보출처 : 고용24",근무시간주6일,근무지역서초구 방배동,급여월급 143만원,등록일2025-01-17,성별여,"업체명방배동, 임광 1,2차 아파트",연령무관,지원방법전화 후 방문 010-5289-4647,지원서류,직종아파트 청소원,채용인원1명
구인상태구인중,"근무내용<신명스카이뷰 멤버스 오피스텔 >- 오피스텔 경비원  1명*직무내용 : 오피스텔 경비 업무*근무형태 : 격일 07:00~익일07:00(주간4, 야간 7.5 휴게)*임       금 : 월급 194만원*고용형태 : 계약직 3개월*지원자격 : 남, 일반경비원 신임교육이수증 필수*근무장소 : 서초구 효령로77길 18, 서초동 신명스카이뷰 멤버스 오피스텔 / 강남역 5번 출구*지원방법 : 전화 후 방문 010-5698-5113*지원서류 : 이력서*정보출처 : 고용24",근무시간격일 07:00~익일07:00,근무지역서초구 서초2동,급여194만원,등록일2025-01-17,성별남,업체명신명스카이뷰 멤버스 오피스텔,연령무관,지원방법전화 후 방문 010-5698-5113,지원서류,직종오피스텔 경비원,채용인원1명
구인상태구인중,"근무내용<주식회사에프터클린>- 빌딩 경비원 1명*직무내용 : 빌딩 경비 업무*근무형태 : 격일, 07:00~22:00 (휴게 2.5시간)*임       금 : 월급 220만원*고용형태 : 상용직*지원자격 : 남, 일반경비원 신임교육이수증 필수*근무장소 : 종로구 신문로2가 경희궁길 14, 신영빌딩 / 광화문역 1번출구*지원방법 : 팩스지원 0505-304-5404*지원서류 : 이력서*정보출처 : 고용24","근무시간격일, 07:00~22:00",근무지역종로구 신문로2가,급여월급 220만원,등록일2025-01-17,성별남,업체명주식회사에프터클린,연령무관,지원방법팩스지원 0505-304-5404,지원서류,직종빌딩 경비원,채용인원1명
